COLONIA,total_incidentes,LATITUD,LONGITUD
SAHUARO,32343,29.1086645,-111.011764
MIGUEL ALEMAN (LA DOCE),18973,28.8421307,-111.4792111
ALTARES,18809,29.0110802,-110.9461929
LA MANGA,11645,29.0864916,-111.0370989
PROGRESISTA,7946,29.1221095,-110.9931356
ALTARES SECCION FRANCISCANOS,7559,29.0192458,-110.9450752
"CENTRO SUR, MERCADO",6269,30.7094249,-111.8374821
ALTARES II,6023,29.00142229999999,-110.9372516
AMAPOLAS,5742,29.0903155,-110.9156436
SAN PEDRO EL SAUCITO,4712,29.1762205,-110.8865851
VILLA COLONIAL,4166,29.1465643,-110.9707818
CENTRO NORTE,4073,30.7159683,-111.8352463
EL ENCANTO,3388,29.181849,-110.8938134
LA VICTORIA,3331,29.1209786,-110.8977614
CASA BLANCA,2763,29.3535356,-110.8212476
CONDOMINIOS SAN PABLO,2662,29.1291013,-111.0156237
MIGUEL ALEMAN,2408,28.8421307,-111.4792111
NUEVA ESPERANZA,2201,28.8394368,-111.4715588
NUEVA VICTORIA,1994,29.1209786,-110.8977614
BACHOCO,1930,29.1289971,-110.9551343
JEREZ DEL VALLE,1899,29.1006693,-111.0139994
BUENA VISTA,1733,29.24457,-110.6373777
PRIMAVERA,1695,28.8254821,-111.943679
SAN MARCOS,1667,28.8715566,-111.6701145
NUEVA ESPAÑA,1608,29.1139571,-111.0005869
INVASION ALTARES,1549,29.0110802,-110.9461929
EL CHAPARRAL,1543,29.1303731,-111.0147445
MORELOS,1534,29.1218472,-110.9513228
EL TAZAJAL,1493,29.143611,-110.8822221
URBI VILLA CAMPESTRE,1444,29.0540196,-111.0247026
BELLA VISTA,1426,29.116188,-110.9890374
EL CORTIJO,1307,29.17863759999999,-110.8645427
SACRAMENTO RESIDENCIAL,1304,29.12058459999999,-110.9514087
EL LLANITO,1245,29.1033819,-111.0218193
PUEBLO NUEVO,964,28.8403745,-111.4909355
LOMA LINDA \ KINO VIEJO,904,29.1480168,-110.9781537
26 DE OCTUBRE,831,28.8440236,-111.5002513
MESA DEL SERI,721,29.109483,-110.8359203
QUINTA REAL,718,29.0458739,-110.8685768
MODELO CENTRO (GUAYMAS J. SIERRA),717,27.9241555,-110.8957047
PREDIO GUADALUPE,625,29.1337925,-111.006548
EL TRONCONAL,549,29.176111,-110.8522221
HACIENDA LOS LIRIOS,537,28.97455,-111.0743198
MODELO SUR RETORNOS,458,29.1969778,-110.9236134
RIVELLO RESIDENCIAL,377,29.071002,-111.0336816
LOMAS DE REFORMA,377,19.4040302,-99.233527
VISTA BELLA,377,29.116188,-110.9890374
HACIENDA RESIDENCIAL,373,29.1279656,-110.913122
SAN PABLO,371,29.06086329999999,-110.9612815
MISIÓN SAN JERÓNIMO,313,29.1154232,-110.9979789
SAN LORENZO,305,29.1333007,-110.9597187
SECTOR D\MIGUEL ALEMAN (LA DOCE),275,28.8421299,-111.4791075
MEZQUITAL DEL ORO,268,29.0724112,-111.0129366
SECTOR A\MIGUEL ALEMAN (LA DOCE),178,28.8421299,-111.4791075
LAS LOMAS DE CORTES,166,27.9101009,-110.9456537
LIRIOS,166,29.0283406,-110.9830763
REVOLUCION 2,148,29.1206993,-110.8968557
SALVADOR ALVARADO\MIGUEL ALEMAN (LA DOCE),145,28.8479494,-111.4954071
SECTOR B\MIGUEL ALEMAN (LA DOCE),135,28.8421307,-111.4792111
CERRO DE LA CRUZ,127,29.1625392,-110.9502474
SANTA MARTHA,119,29.098989,-111.548153
P. INDUSTRIAL LA LABOR,106,29.3483332,-110.8091667
SECTOR C\MIGUEL ALEMAN (LA DOCE),73,28.8421307,-111.4792111
LOMAS DE KINO,66,28.830032,-111.87458
LAS CUEVITAS,50,29.1404409,-111.0676503
HUMBERTO GUTIERREZ,49,29.1365031,-111.0493769
PARQUE INDUSTRIAL PIMEX,46,29.152761,-110.914536
CANTERAS RESIDENCIAL,44,29.1775371,-110.9900635
INVASIÓN EL CHAPARRAL,44,29.1303731,-111.0147445
LAS HACIENDAS,40,27.4950521,-109.9117265
RANCHO SAN IGNACIO,39,29.1212909,-110.9223284
HACIENDA RESIDENCIAL CONDOMINAL,35,29.1279656,-110.913122
CAMPESTRE RESIDENCIAL,30,29.1138988,-110.9093103
VILLA DE SAN LORENZO,23,29.1516749,-111.0066098
PRIMAVERA\KINO VIEJO,23,29.1480168,-110.9781537
SANTA MONICA,20,28.7446245,-111.4556298
CARNAVALITO\BAHIA DE KINO,15,28.8252106,-111.9351088
SANTA LUCIA RESIDENCIAL,14,28.9055627,-110.7954397
BARRIO DE LA CRUZ\BAHIA DE KINO,12,28.819422,-111.9365993
ARTESANOS\BAHIA DE KINO,12,28.8274709,-111.9380897
GALA 3,11,28.9940061,-110.9213688
JOYAS DEL BACHOCO,10,29.1598861,-110.9596144
ESTADIO SONORA,7,29.0628089,-111.0515022
LA HERRADURA,7,29.2145718,-110.8943282
LOMAS DE SAN GERMAN,6,28.8673958,-111.9798225
HUMBERTO GUTIERRES (LAS CUEVITAS),6,29.1365031,-111.0493769
ALCATRAZ\BAHIA DE KINO,6,28.8227474,-111.9363016
KINO VIEJO,5,29.1480168,-110.9781537
OASIS MIRAMONTES,5,29.0126455,-110.9424631
CAJEME,4,27.4934041,-109.940064
EJIDO SAN BARTOLO,4,29.1472221,-110.7933333
EL TRIUNFITO,4,28.8413084,-111.4736868
PROGRESO\BAHIA DE KINO,4,28.8236442,-111.9313449
EJIDO PLAN DE AYALA,4,32.2202777,-115.0313888
NUEVO SONORA\MIGUEL ALEMAN (LA DOCE),3,28.8421307,-111.4792111
CARDENO,3,29.1573596,-110.9712538
EJIDO LAS PLACITAS,3,29.05620459999999,-111.0147612
TRINIDAD SANCHEZ LEYVA,3,28.84768,-111.5076763
RESIDENCIAL VENTURA,3,29.118416,-110.912912
CAMINO DEL SERI,2,29.0574909,-111.0146033
TRONCONAL,2,29.176111,-110.8522221
CAMPESTRE LOS BAGOTES,2,29.1159593,-111.0661144
SANTO NIÑO,2,29.1764554,-111.7119961
REAL DEL ALAMITO,2,29.2339079,-110.8484976
EJIDO MESA DE SERI,2,29.109483,-110.8359203
TEPITO,2,19.4461911,-99.1283211
ECONATURA,1,29.1298453,-110.8536262
CUEVITAS,1,29.1353325,-111.0505489
CAPISTRANO 4TA SECCION,1,29.0833871,-111.0763431
EJ. EL TRIUNFITO,1,28.8413084,-111.4736868
CALLE 28 NORTE,1,28.9354991,-111.6235062
CALIFORNIA SECC. SACRAMENTO,1,29.12058459999999,-110.9514087
BAHÍA DE KINO NUEVO,1,28.8565804,-112.0104543
AMPLIACION ALTARES,1,29.0110802,-110.9461929
CAMPO LA FLORIDA,1,27.4810197,-109.9612231
CANTABRIA RESIDENCIAL,1,29.1568995,-111.0280413
ALAMOS,1,29.0298817,-110.9543891
CERRADA PALO VERDE,1,29.1373428,-111.0692999
EJIDO EL ZACATON,1,29.2746412,-110.8485863
EJIDO EL REALITO,1,29.0880737,-110.8631152
EJIDO EL CHOYUDO,1,28.322222,-111.4527777
EL CHATARRAL,1,29.1303731,-111.0147445
EJIDO ZAMORA,1,29.26165039999999,-110.88584
EJIDO LA PEAÑA,1,29.0283332,-111.0633332
EL EJIDO LA YESCA,1,29.0091256,-111.052002
EL CORTIJO PERIODISTA,1,29.17863759999999,-110.8645427
EL REALENGO,1,28.9965375,-110.9506399
EL CHOYUDO,1,28.322222,-111.4527777
FRACCIONAMIENTO MIRAMONTES,1,29.0126455,-110.9424631
FRACC. CARDENO RESIDENCIAL,1,29.1573596,-110.9712538
HACIENDAS REAL DEL 14,1,28.96470619999999,-111.052002
HACIENDAS CAMPESTRE,1,29.0548636,-111.0246743
HACIENDA SAN MIGUEL,1,29.1877861,-110.8535887
HOYO DE BONILLAS,1,29.1342859,-111.0023383
MODELO RETORNOS,1,29.1969778,-110.9236134
MIRAMONTES,1,29.0126455,-110.9424631
LOS LIRIOS INV. TEPITO,1,29.0283406,-110.9830763
LOS PINOS CAMPESTRE,1,28.9606068,-110.9638145
LOPEZS RIESGO,1,29.0097963,-110.9435561
LA VICTORIA COLONIA PUNTA BELLA,1,29.1157428,-110.8961644
LAS HACIENDAS RESIDENCIAL,1,29.1294938,-110.9216512
LIBRAMIENTO,1,28.9544282,-110.8702583
LA PONDEROSA,1,28.76905229999999,-111.4737753
INVASION REALENGO,1,28.996371,-110.9501653
MONTALBAN O CANTERAS,1,29.1771891,-110.9929708
PARQUE INDUSTRIAL NORTE,1,29.1864778,-111.0075199
NUUEVA ESPERANZA.,1,28.8394368,-111.4715588
PUNTA BELLA,1,29.1157428,-110.8961644
"PLACITAS , EN EL EJIDO LAS PLACITAS",1,29.05620459999999,-111.0147612
PRIVADA CARDENO RESIDENCIAL,1,29.1573596,-110.9712538
RIO BONITO,1,29.2093819,-110.864691
RIO SECO,1,29.1313844,-110.9127097
RESIDENCIAL SANTERRA,1,29.1206341,-110.9151107
RESIDENCIAL RANCHO SAN IGNACIO,1,29.1212909,-110.9223284
PRIVADA SAN LORENZO,1,29.1333007,-110.9597187
SAN FRANCISCO RESIDENCIAL,1,29.0509487,-111.0168276
SAN ISIDRO/ EL TRIUNFITO,1,28.8413084,-111.4736868
SAN MARCOS RESIDENCIAL,1,29.12220929999999,-111.033932
SECC ALAMOS,1,29.0298817,-110.9543891
SARATOGA,1,29.1230286,-110.9240434
SANMARCOS,1,28.8715566,-111.6701145
VILLA CORSO,1,29.016784,-110.985663
VILLA DE LOS CORCELES SECC. ARDENES,1,29.075385,-111.0235266
VILLA DE ALCALA,1,29.01765,-110.9830315
VILLAS DEL SUR CERRADA VILLLA GUADALUPE,1,29.0160448,-110.9797232
YANITO,1,29.1033819,-111.0218193
