Original,Corregida
10 DE MAYO,10 DE MAYO
14 DE MARZO,14 DE MARZO
1RO DE JULIO,1RO DE JULIO
22 DE SEPTIEMBRE,22 DE SEPTIEMBRE
26 DE OCTUBRE,26 DE OCTUBRE
3 REYNAS,3 REYNAS
4 DE MARZO,4 DE MARZO
4TA ZONA MILITAR,4TA ZONA MILITAR
5 DE MAYO,5 DE MAYO
"5 DE MAYO SECTOR ""A""",5 DE MAYO SECTOR A
A. LOPEZ MATEOS,A LOPEZ MATEOS
ACACIA RESIDENCIAL,ACACIA RESIDENCIAL
ACASSIA BLANCA,ACASSIA BLANCA
ADOLFO DE LA HUERTA,ADOLFO DE LA HUERTA
ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS
AEROPUERTO,AEROPUERTO
AGAVES RESIDENCIAL,AGAVES RESIDENCIAL
AGUALURCA,AGUALURCA
AKIWIKI,AKIWIKI
ALAMEDA,ALAMEDA
ALAMEDA LOS FRESNOS,ALAMEDA LOS FRESNOS
ALAMOS,ALAMOS
ALBERTO GUTIERREZ,ALBERTO GUTIERREZ
ALBORADA,ALBORADA
ALCALA RESIDENCIAL,ALCALA RESIDENCIAL
ALCALÁ RESIDENCIAL,ALCALA RESIDENCIAL
ALCATRACES,ALCATRACES
ALCATRAZ\BAHIA DE KINO,ALCATRAZBAHIA DE KINO
ALEGRANZA RESIDENCIAL,ALEGRANZA RESIDENCIAL
ALFREDO NORIEGA,ALFREDO NORIEGA
RESIDENCIAL ALONDRA,ALONDRA
FRACCIONAMIENTO ALONDRAS,ALONDRAS
ALONDRAS RESIDENCIAL,ALONDRAS RESIDENCIAL
ALTA CALIFORNIA RESIDENCIAL,ALTA CALIFORNIA RESIDENCIAL
ALTA CALIFORNIA RESIDENCIAL SECC CORONADO,ALTA CALIFORNIA RESIDENCIAL SECC CORONADO
ALTA FIRENZE RESIDENCIAL,ALTA FIRENZE RESIDENCIAL
RESIDENCIAL ALTACALIFORNIA,ALTACALIFORNIA
ALTADENA,ALTADENA
ALTAMIRA,ALTAMIRA
ALTARES,ALTARES
ALTARES II,ALTARES II
ALTARES SECCION FRANCISCANOS,ALTARES SECCION FRANCISCANOS
ALTARIA RESIDENCIAL,ALTARIA RESIDENCIAL
ALTARIA RESIDENCIAL SECC. NAPOLES,ALTARIA RESIDENCIAL SECC NAPOLES
ALTO VALLE,ALTO VALLE
ALTO VALLE SECTOR A,ALTO VALLE SECTOR A
ALTOS DE ARAGON,ALTOS DE ARAGON
ALVARO OBREGON,ALVARO OBREGON
ÁLVARO OBREGÓN,ALVARO OBREGON
AMAPOLA NORTE,AMAPOLA NORTE
AMAPOLAS,AMAPOLAS
AMPLIACION ALTARES,AMPLIACION ALTARES
AMPLIACION COLOSIO,AMPLIACION COLOSIO
AMPLIACION LADRILLERAS,AMPLIACION LADRILLERAS
AMPLIACIÓN LADRILLERAS,AMPLIACION LADRILLERAS
AMPLIACION LOS OLIVOS,AMPLIACION LOS OLIVOS
AMPLIACIÓN LOS OLIVOS,AMPLIACION LOS OLIVOS
AMPLIACION LUIS DONALDO COLOSIO 3RA.ETAPA,AMPLIACION LUIS DONALDO COLOSIO 3RAETAPA
AMPLIACIONL LUIS DONALDO COLOSIO 3RA.ETAPA,AMPLIACION LUIS DONALDO COLOSIO 3RAETAPA
ANDALUCIA,ANDALUCIA
ANDALUCÍA,ANDALUCIA
ANGEL FLORES,ANGEL FLORES
ANGELES CERRADA MIXCOAC,ANGELES CERRADA MIXCOAC
ANTARA RESIDENCIAL,ANTARA RESIDENCIAL
ANTONIO PARADA CANO,ANTONIO PARADA CANO
ANTORCHA .,ANTORCHA
ANTORCHA CAMPESINA,ANTORCHA CAMPESINA
APOLO,APOLO
ARAGON RESIDENCIAL,ARAGON RESIDENCIAL
ARÁNDANOS,ARANDANOS
ARANDANOS RESIDENCIAL,ARANDANOS RESIDENCIAL
ARANDAS RESIDENCIAL,ARANDAS RESIDENCIAL
ARANJUEZ RESIDENCIAL,ARANJUEZ RESIDENCIAL
ARBOLEDAS,ARBOLEDAS
ARCADIA,ARCADIA
ARCADIA RESIDENCIAL,ARCADIA RESIDENCIAL
ARCADIA SECC. NAPOLES,ARCADIA SECC NAPOLES
ARCO IRIS,ARCO IRIS
ARDENEZ,ARDENEZ
ARIZONA,ARIZONA
ARROYOS,ARROYOS
ARTESANOS\BAHIA DE KINO,ARTESANOSBAHIA DE KINO
ASTURIAS RESIDENCIAL,ASTURIAS RESIDENCIAL
ATARDECERES,ATARDECERES
AZORES RESIDENCIAL,AZORES RESIDENCIAL
BACHOCO,BACHOCO
BAGALONA,BAGALONA
BAHIA DE KINO,BAHIA DE KINO
BAHÍA DE KINO,BAHIA DE KINO
BAHÍA DE KINO NUEVO,BAHIA DE KINO NUEVO
BALDERRAMA,BALDERRAMA
BANUS,BANUS
BANUS II,BANUS II
BARCELONA RESIDENCIAL,BARCELONA RESIDENCIAL
BARRIO CHULO,BARRIO CHULO
BARRIO DE LA CRUZ\BAHIA DE KINO,BARRIO DE LA CRUZBAHIA DE KINO
BELLA VISTA,BELLA VISTA
VISTA BELLA,BELLA VISTA
BENEI RESIDENCIAL,BENEI RESIDENCIAL
BENITO JUAREZ,BENITO JUAREZ
BENITO JUÁREZ,BENITO JUAREZ
BERNARDO ESQUEDA,BERNARDO ESQUEDA
BICENTENARIO,BICENTENARIO
BICENTENARIO 1810,BICENTENARIO 1810
BICENTENARIO 1910,BICENTENARIO 1910
BILBAO RESIDENCIAL,BILBAO RESIDENCIAL
BONANZA,BONANZA
FRACCIONAMIENTO BONANZA,BONANZA
BONILLA,BONILLA
BOSCO RESIDENCIA,BOSCO RESIDENCIA
BRETAÑA,BRETANA
BUENA VENTURA,BUENA VENTURA
BUENAVENTURA,BUENA VENTURA
BUENA VISTA,BUENA VISTA
BUENA VISTA SECCION AMANECERES,BUENA VISTA SECCION AMANECERES
BUENOS AIRES,BUENOS AIRES
BUGAMBILIA,BUGAMBILIA
BURGOS PITIC RESIDENCIAL,BURGOS PITIC RESIDENCIAL
CADIZ RESIDENCIAL,CADIZ RESIDENCIAL
CAFE  COMBATE,CAFE COMBATE
CAFE COMBATE,CAFE COMBATE
CAFE COMBRATE,CAFE COMBATE
CAFE COMBATE II,CAFE COMBATE II
CAFETALES,CAFETALES
CAJEME,CAJEME
CALIFORNIA RESIDENCIAL,CALIFORNIA RESIDENCIAL
CALIFORNIA RESIDENCIAL CDA CORDOBA,CALIFORNIA RESIDENCIAL CDA CORDOBA
CALIFORNIA RESIDENCIAL CDA SARATOGA,CALIFORNIA RESIDENCIAL CDA SARATOGA
CALIFORNIA RESIDENCIAL SANTA ROSA,CALIFORNIA RESIDENCIAL SANTA ROSA
CALIFORNIA RESIDENCIAL SECC MARQUEZ,CALIFORNIA RESIDENCIAL SECC MARQUEZ
CALIFORNIA RESIDENCIAL SECC. SANTA MARTHA,CALIFORNIA RESIDENCIAL SECC SANTA MARTHA
CALIFORNIA RESIDENCIAL SECC. SANTA MONICA,CALIFORNIA RESIDENCIAL SECC SANTA MONICA
CALIFORNIA RESIDENCIAL SECCION SANTA ROSA,CALIFORNIA RESIDENCIAL SECCION SANTA ROSA
CALIFORNIA SECC. MEDITERRANEO,CALIFORNIA SECC MEDITERRANEO
CALIFORNIA SECC. SACRAMENTO,CALIFORNIA SECC SACRAMENTO
CALIFORNIA SECCION MARQUEZA,CALIFORNIA SECCION MARQUEZA
CALIFRONIA RESIDENCIAL CERRADA SANTA ROSA,CALIFRONIA RESIDENCIAL CERRADA SANTA ROSA
CALLE 28 NORTE,CALLE 28 NORTE
CAMINO DEL SERI,CAMINO DEL SERI
CAMINO REAL,CAMINO REAL
CAMINO REAL DEL NORTE,CAMINO REAL DEL NORTE
CAMINO REAL MISION,CAMINO REAL MISION
CAMPANARIO,CAMPANARIO
CAMPESTRE LOS BAGOTES,CAMPESTRE LOS BAGOTES
CAMPESTRE RESIDENCIAL,CAMPESTRE RESIDENCIAL
CAMPIÑA,CAMPINA
CAMPO GRANDE SEGUNDA CERRADA GOLD WARER,CAMPO GRANDE SEGUNDA CERRADA GOLD WARER
CAMPO LA FLORIDA,CAMPO LA FLORIDA
CAMPOGRANDE RESIDENCIAL,CAMPOGRANDE RESIDENCIAL
CANADA DE LOS NEGROS,CANADA DE LOS NEGROS
CAÑADA DE LOS NEGROS,CANADA DE LOS NEGROS
CANTABRIA RESIDENCIAL,CANTABRIA RESIDENCIAL
CANTERAS RESIDENCIAL,CANTERAS RESIDENCIAL
CAPERUZO,CAPERUZO
CAPISTRANO,CAPISTRANO
RESIDENCIAL CAPISTRANO,CAPISTRANO
CAPISTRANO 4TA SECCION,CAPISTRANO 4TA SECCION
CARDENAS RESIDENCIAL,CARDENAS RESIDENCIAL
CARDENO,CARDENO
CARDENO 2,CARDENO 2
PRIVADA CARDENO RESIDENCIAL,CARDENO RESIDENCIAL
CARIDAD,CARIDAD
CARMEN SERDAN,CARMEN SERDAN
CARMEN SERDÁN,CARMEN SERDAN
CARNAVALITO\BAHIA DE KINO,CARNAVALITOBAHIA DE KINO
CARRETERA GUAYMAS - HERMOSILLO,CARRETERA GUAYMAS HERMOSILLO
CARRETERA INTERNACIONAL,CARRETERA INTERNACIONAL
CASA ALTA RDCIAL,CASA ALTA RDCIAL
CASA BLANCA,CASA BLANCA
CASA BONITA,CASA BONITA
CASA BONITA 2,CASA BONITA 2
CASA BONITA RESIDENCIAL,CASA BONITA RESIDENCIAL
CASA GRANDE,CASA GRANDE
CASA GRANDE RESIDENCIAL,CASA GRANDE RESIDENCIAL
CASA GRANDE RESIDENCIAL I,CASA GRANDE RESIDENCIAL
CASA LINDA,CASA LINDA
CASA REAL,CASA REAL
FRACCIONAMIENTO CASA REAL,CASA REAL
CASA SOLARI,CASA SOLARI
CASIA RESIDENCIAL,CASIA RESIDENCIAL
CASTELLO RESIDENCIAL,CASTELLO RESIDENCIAL
CATABIÑA,CATABINA
CATALINAS RESIDENCIAL,CATALINAS RESIDENCIAL
CATAVIÑA RESIDENCIAL,CATAVINA RESIDENCIAL
CCUCURPE,CCUCURPE
CENTENARIO,CENTENARIO
CENTENARIO ISTESSON,CENTENARIO ISTESSON
CENTRAL DE ABASTOS,CENTRAL DE ABASTOS
CENTRO,CENTRO
CENTRO NORTE,CENTRO NORTE
CENTRO ORIENTE,CENTRO ORIENTE
"CENTRO SUR, MERCADO",CENTRO SUR MERCADO
CENTRO\BAHIA DE KINO,CENTROBAHIA DE KINO
CERRADA 940,CERRADA 940
CERRADA ANDALUCIA,CERRADA ANDALUCIA
CERRADA CUCURPE,CERRADA CUCURPE
CERRADA DE MINAS,CERRADA DE MINAS
CERRADA DEL ANGEL,CERRADA DEL ANGEL
CERRADA DEL CID,CERRADA DEL CID
CERRADA DIAMANTE,CERRADA DIAMANTE
CERRADA KUKAPA,CERRADA KUKAPA
CERRADA LA VEREDAS,CERRADA LA VEREDAS
CERRADA MILAN,CERRADA MILAN
CERRADA NORWALK,CERRADA NORWALK
CERRADA PALO VERDE,CERRADA PALO VERDE
CERRADA PIMAS,CERRADA PIMAS
CERRADA ROBLES,CERRADA ROBLES
CERRADA SANTA MONICA,CERRADA SANTA MONICA
CERRADA SANTA MONICA CALIFORNIA,CERRADA SANTA MONICA CALIFORNIA
CERRO,CERRO
CERRO APACHE,CERRO APACHE
CERRO COLORADO,CERRO COLORADO
CERRO DE LA CAMPANA,CERRO DE LA CAMPANA
CERRO DE LA CRUZ,CERRO DE LA CRUZ
CERRO LA CAMPANA,CERRO LA CAMPANA
CEZANNE RESIDENCIAL,CEZANNE RESIDENCIAL
CHANATE,CHANATE
CHINO ABELARDO,CHINO ABELARDO
CHOYAL,CHOYAL
CHULA VISTA,CHULA VISTA
CIENA RESIDENCIAL,CIENA RESIDENCIAL
CIMA II,CIMA II
CIMA RESIDENCIAL,CIMA RESIDENCIAL
CINCO DE MAYO,CINCO DE MAYO
CIRENSE RESIDENCIAL,CIRENSE RESIDENCIAL
CLUB BRITANIA,CLUB BRITANIA
CNOP,CNOP
COLINA BLANCA,COLINA BLANCA
COLINA DEL VALLE,COLINA DEL VALLE
COLINAS DEL VALLE,COLINA DEL VALLE
FRACCIONAMIENTO COLINAS DEL VALLE,COLINA DEL VALLE
COLINAS,COLINAS
COLINAS DE SAN JAVIER,COLINAS DE SAN JAVIER
COLINAS DEL BACHOCO,COLINAS DEL BACHOCO
COLINAS DEL SOL,COLINAS DEL SOL
COLINAS II,COLINAS II
COLONA BLANCA,COLONA BLANCA
COLOSO ALTA,COLOSO ALTA
COLOSO NORTE,COLOSO NORTE
COLOSO ORIENTE,COLOSO ORIENTE
COMERCIAL CEDROS,COMERCIAL CEDROS
COMPOSTELA RESIDENCIAL,COMPOSTELA RESIDENCIAL
CONDESA,CONDESA
RESIDENCIAL CONDOMINAL,CONDOMINAL
CONDOMINIOS SAN PABLO,CONDOMINIOS SAN PABLO
CONQUISTADORES,CONQUISTADORES
CONSTITUCIÓN,CONSTITUCION
CORCELES SECC ALTER REAL,CORCELES SECC ALTER REAL
CORCICA,CORCICA
CORCITA RESIDENCIAL,CORCITA RESIDENCIAL
RESIDENCIAL CORDOBA,CORDOBA
CORDOBA RESIDENCIAL,CORDOBA RESIDENCIAL
PRIVADA CORDOVA,CORDOVA
CORONADO,CORONADO
CORSICA RESIDENCIAL,CORSICA RESIDENCIAL
RESIDENCIOAL CORSICA,CORSICA RESIDENCIAL
CORTIJO PERIODISTAS,CORTIJO PERIODISTAS
CORTIJO PERODISTA,CORTIJO PERODISTA
CORTIJO SECCION PERIODISTAS,CORTIJO SECCION PERIODISTAS
CORTIJO SECCION PIONEROS,CORTIJO SECCION PIONEROS
CORUÑA,CORUNA
COSTA DEL SOL,COSTA DEL SOL
COSTA DEL SOL 2DA ETAPA,COSTA DEL SOL 2DA ETAPA
COUNTRY CLUB,COUNTRY CLUB
CRUZ GALVEZ,CRUZ GALVEZ
CRUZ GÁLVEZ,CRUZ GALVEZ
CUARTEL 15A,CUARTEL 15A
CUARTEL PITIC,CUARTEL PITIC
CUARTEL XV,CUARTEL XV
CUARTEL XX CAFE COMBATE,CUARTEL XX CAFE COMBATE
CUARTEL XX CAFÉ COMBATE,CUARTEL XX CAFE COMBATE
CUATRO OLIVOS,CUATRO OLIVOS
CUAUHTEMOC,CUAUHTEMOC
CUAUHTÉMOC,CUAUHTEMOC
CUCURPE,CUCURPE
CUCURPE II,CUCURPE II
CUEVITAS,CUEVITAS
CUMBRES RESIDENCIAL,CUMBRES RESIDENCIAL
RESIDENCIAL DE ANZA,DE ANZA
FRACCIONAMIENTO DE LAS VEREDAS,DE LAS VEREDAS
RESIDENCIAL DE LOS ALTOS,DE LOS ALTOS
DE LOS POETAS,DE LOS POETAS
DE LOS REYES,DE LOS REYES
PRIVADA DE SAUCE,DE SAUCE
RESIDENCIAL DE TOLEDO,DE TOLEDO
DEL BOSQUE,DEL BOSQUE
RESIDENCIAL DEL CID,DEL CID
DEL CID RESIDENCIAL,DEL CID RESIDENCIAL
PRIVADA DEL MIRADOR I,DEL MIRADOR I
RESIDENCIAL DEL MONTE,DEL MONTE
DEL RAZO,DEL RAZO
PRIVADA DEL REAL,DEL REAL
DILIGENCIAS,DILIGENCIAS
DIVISION DEL NORTE,DIVISION DEL NORTE
DUNAS,DUNAS
ECONATURA,ECONATURA
EJ. EL TRIUNFITO,EJ EL TRIUNFITO
EJIDO CARRILLO MARCOT,EJIDO CARRILLO MARCOT
EJIDO  EL BUEY,EJIDO EL BUEY
EJIDO EL CHANATE,EJIDO EL CHANATE
EJIDO EL CHOYUDO,EJIDO EL CHOYUDO
EJIDO EL REALITO,EJIDO EL REALITO
EJIDO EL TRIUNFITO,EJIDO EL TRIUNFITO
EJIDO EL TRIUNFO,EJIDO EL TRIUNFO
EJIDO EL ZACATON,EJIDO EL ZACATON
EJIDO LA HABANA,EJIDO LA HABANA
EJIDO LA MANGA,EJIDO LA MANGA
EJIDO LA PEAÑA,EJIDO LA PEANA
EJIDO LA VICTORIA,EJIDO LA VICTORIA
EJIDO LAS PLACIITAS,EJIDO LAS PLACIITAS
EJIDO LAS PLACITAS,EJIDO LAS PLACIITAS
EJIDO LOS CHOROS,EJIDO LOS CHOROS
EJIDO MESA DE SERI,EJIDO MESA DE SERI
EJIDO MESA DEL SERI,EJIDO MESA DE SERI
EJIDO MINERO DE PILARES,EJIDO MINERO DE PILARES
EJIDO PLAN DE AYALA,EJIDO PLAN DE AYALA
EJIDO SAN BARTOLO,EJIDO SAN BARTOLO
EJIDO ZAMORA,EJIDO ZAMORA
EJODO EL BUEY,EJODO EL BUEY
EL 33,EL 33
EL ANTORCHA,EL ANTORCHA
EL APACHE,EL APACHE
EL BUEY,EL BUEY
EL CAPERUZO,EL CAPERUZO
EL CHAPARRAL,EL CHAPARRAL
EL CHATARRAL,EL CHATARRAL
EL CHOYUDO,EL CHOYUDO
EL COLOSO,EL COLOSO
EL COLOSO ALTO,EL COLOSO ALTO
EL CONQUISTADOR,EL CONQUISTADOR
EL CORTIJO,EL CORTIJO
EL CORTIJO PERIODISTA,EL CORTIJO PERIODISTA
EL CORTIJO SECCION PIONEROS,EL CORTIJO SECCION PIONEROS
EL CORTIJO UNISON,EL CORTIJO UNISON
EL DORADO I,EL DORADO I
EL EJIDO LA YESCA,EL EJIDO LA YESCA
EL ENCANTO,EL ENCANTO
EL ESPLENDOR,EL ESPLENDOR
EL ESPLENDOR 2,EL ESPLENDOR 2
EL JITO,EL JITO
EL LLANITO,EL LLANITO
EL LLANO,EL LLANO
EL MALECON,EL MALECON
EL MALECÓN,EL MALECON
EL MARIACHI,EL MARIACHI
EL MEZQUITE,EL MEZQUITE
EL MIRADOR,EL MIRADOR
EL NOGAL,EL NOGAL
EL PROGRESO,EL PROGRESO
EL RANCHITO,EL RANCHITO
EL REALENGO,EL REALENGO
EL RECODO,EL RECODO
EL TAZAJAL,EL TAZAJAL
EL TORREON,EL TORREON
EL TRIUNFITO,EL TRIUNFITO
EL TRONCONAL,EL TRONCONAL
EMILIANO ZAPATA,EMILIANO ZAPATA
FRACCIONAMIENTO EMPERADOR,EMPERADOR
EN LA INVASION 3 REYNAS,EN LA INVASION 3 REYNAS
EN LAS PALMITAS,EN LAS PALMITAS
ENCINOS 2,ENCINOS 2
EQUIPAMIENTO EDUCATIVO,EQUIPAMIENTO EDUCATIVO
ESMERALDA,ESMERALDA
FRACCIONAMIENTO ESMERALDA,ESMERALDA
RESIDENCIAL ESMERALDA,ESMERALDA
ESMERALDA RESIDENCIAL,ESMERALDA RESIDENCIAL
ESPERANZA,ESPERANZA
ESPLENDOR 3 ETAPA,ESPLENDOR 3 ETAPA
ESPLENDOR TRES,ESPLENDOR TRES
ESTACION ZAMORA,ESTACION ZAMORA
ESTADIO NUEVO SONORA,ESTADIO NUEVO SONORA
ESTADIO SONORA,ESTADIO SONORA
ESTANSA RESIDENCIAL,ESTANSA RESIDENCIAL
ESTANZA,ESTANZA
RESIDENCIAL ESTANZA,ESTANZA
ESTANZA FLORECIA,ESTANZA FLORECIA
ESTANZA FLORENZA,ESTANZA FLORENZA
ESTANZA SECCION TORREALBA,ESTANZA SECCION TORREALBA
ESTAUS,ESTAUS
EUSEBIO KINO,EUSEBIO KINO
EUSEBIO KINO-ISSSTESON,EUSEBIO KINOISSSTESON
EXT. COLOSIO,EXT COLOSIO
EXTENCION 4 DE MARZO,EXTENCION 4 DE MARZO
FEROCARRILERA,FEROCARRILERA
FERROCARRILERA,FEROCARRILERA
RESIDENCIAL FIRENCE,FIRENCE
FIRENZE,FIRENZE
FIRENZE RESIDENCIAL,FIRENZE RESIDENCIAL
FLAMINGOS,FLAMINGOS
FLORENSA RESIDENCIAL,FLORENSA RESIDENCIAL
FLORENZA RESIDENCIAL,FLORENZA RESIDENCIAL
FLORESTA,FLORESTA
FLORESTA RESIDENCIAL,FLORESTA RESIDENCIAL
FLORESTA SECCION CIPRES,FLORESTA SECCION CIPRES
FLORESTA SECCION SAUCES,FLORESTA SECCION SAUCES
FLORESTA SECCION VILLA ALMENDRAS,FLORESTA SECCION VILLA ALMENDRAS
"FLORESTA SECCION ""VILLA CIRUELOS""",FLORESTA SECCION VILLA CIRUELOS
FLORESTA VILLA ALMENDRAS,FLORESTA VILLA ALMENDRAS
FLORESTA VILLA FRESNOS,FLORESTA VILLA FRESNOS
FONAPO,FONAPO
FONHAPO,FONHAPO
FOVISSSTE,FOVISSSTE
FRAC. TOPACIO,FRAC TOPACIO
FRACC. CANTERAS,FRACC CANTERAS
FRACC. CARDENO RESIDENCIAL,FRACC CARDENO RESIDENCIAL
FRACC. DE LA CAPILLA,FRACC DE LA CAPILLA
FRACC. ESTANZA FLORENZA,FRACC ESTANZA FLORENZA
FRACC. LA CAÑADA,FRACC LA CANADA
FRACC. PASEO DEL CID,FRACC PASEO DEL CID
FRACC. RETORNO DE LA MISION,FRACC RETORNO DE LA MISION
FRACC: RIO DE PLATA,FRACC RIO DE PLATA
FRACC. URBI VILLA DEL CEDRO,FRACC URBI VILLA DEL CEDRO
FRACC. URBIVILLA CAMPESTRE,FRACC URBIVILLA CAMPESTRE
FRACC. VILLAS ROMANZA,FRACC VILLAS ROMANZA
FRACC. VISTA REAL,FRACC VISTA REAL
FRACC.DALLAS RESIDENCIAL,FRACCDALLAS RESIDENCIAL
FRACC.SANTA ANITA,FRACCSANTA ANITA
FRANCISCO E. KINO ISSSTESON,FRANCISCO E KINO ISSSTESON
FRANCISCO ROMERO,FRANCISCO ROMERO
FRANCISCO ROMERO (INVACION ),FRANCISCO ROMERO INVACION
FRANCISCO VILLA,FRANCISCO VILLA
FRANSICO ROMERO,FRANSICO ROMERO
FRESNO RESIDENCIAL,FRESNO RESIDENCIAL
RESIDENCIAL FRESNOS,FRESNOS
FRESNOS ALAMEDA,FRESNOS ALAMEDA
FUENTE CIBELES,FUENTE CIBELES
FUENTE DANZANTE,FUENTE DANZANTE
FUENTE  DE PIEDRA,FUENTE DE PIEDRA
FUENTE DE PIEDRA,FUENTE DE PIEDRA
FUENTES DE MEZQUITAL,FUENTES DE MEZQUITAL
FUENTES DEL MEZQUITAL,FUENTES DE MEZQUITAL
FUENTES DEL CENTENARIO,FUENTES DEL CENTENARIO
GABY PEREYRA,GABY PEREYRA
GALA,GALA
RESIDENCIAL GALA,GALA
GALA  3,GALA 3
GALA 3,GALA 3
GALA II,GALA II
GALA RESIDENCIAL,GALA RESIDENCIAL
GENOVA RESIDENCIAL,GENOVA RESIDENCIAL
GIRASOLES,GIRASOLES
GUAYACAN,GUAYACAN
H. AYUNTAMIENTO,H AYUNTAMIENTO
HACIENDA DE LA FLOR,HACIENDA DE LA FLOR
HACIENDAS DE LA FLOR,HACIENDA DE LA FLOR
HACIENDA DE LOS TESOROS,HACIENDA DE LOS TESOROS
HACIENDA DEL SOL,HACIENDA DEL SOL
HACIENDA EL ANGAR,HACIENDA EL ANGAR
HACIENDA LAS MINITAS,HACIENDA LAS MINITAS
HACIENDA LAS PLACITAS,HACIENDA LAS PLACITAS
HACIENDA LOS ALCATRACES,HACIENDA LOS ALCATRACES
HACIENDA LOS LIRIOS,HACIENDA LOS LIRIOS
HACIENDA LOS TESOROS,HACIENDA LOS TESOROS
HACIENDA RESIDENCIAL,HACIENDA RESIDENCIAL
HACIENDAS RESIDENCIAL,HACIENDA RESIDENCIAL
HACIENDA RESIDENCIAL CONDOMINAL,HACIENDA RESIDENCIAL CONDOMINAL
HACIENDA SAN MIGUEL,HACIENDA SAN MIGUEL
FRACC HACIENDAS,HACIENDAS
HACIENDAS,HACIENDAS
RESIDENCIAL HACIENDAS,HACIENDAS
HACIENDAS CAMPESTRE,HACIENDAS CAMPESTRE
HACIENDAS DEL SUR,HACIENDAS DEL SUR
HACIENDAS LOS FRESNOS,HACIENDAS LOS FRESNOS
HACIENDAS REAL DEL 14,HACIENDAS REAL DEL 14
HEBERTO CASTILLO,HEBERTO CASTILLO
HECTOR FRANCISCO ROMERO,HECTOR FRANCISCO ROMERO
HERMOSA PROVINCIA,HERMOSA PROVINCIA
HERMOSILLO,HERMOSILLO
HOYO DE BONILLAS,HOYO DE BONILLAS
HUAREQUI,HUAREQUI
HUMBERTO GUTIERRES (LAS CUEVITAS),HUMBERTO GUTIERRES LAS CUEVITAS
HUMBERTO GUTIERREZ,HUMBERTO GUTIERREZ
INALAMBRICA,INALAMBRICA
INAVSION LAS COSECHAS,INAVSION LAS COSECHAS
INDECO CENTENARIO,INDECO CENTENARIO
INN. TRES REYNAS,INN TRES REYNAS
INSURGENTES,INSURGENTES
