Original,Corregida
INTERNACIONAL,INTERNACIONAL
INV 3 REYES,INV 3 REYES
INV. ADOLFO LOPEZ DE LA HUERTA,INV ADOLFO LOPEZ DE LA HUERTA
INV COYOACAN,INV COYOACAN
INV LA COSECHA,INV LA COSECHA
INV. MAQUENAS,INV MAQUENAS
INV. NUEVO HORIZONTE,INV NUEVO HORIZONTE
INV. PLUTARCO ELIAS CALLE,INV PLUTARCO ELIAS CALLE
INV. PROLONGACION RANCHITO,INV PROLONGACION RANCHITO
INV. TEPITO,INV TEPITO
INV. TRES REINAS,INV TRES REINAS
INVACION ANTORCHA,INVACION ANTORCHA
INVACION INSURGENTES 4 ETAPA,INVACION INSURGENTES 4 ETAPA
INVACION LOS LIRIOS O TEPITO,INVACION LOS LIRIOS O TEPITO
INVACION NUEVO SONORA,INVACION NUEVO SONORA
INVACION SAMUEL RIO VARELA,INVACION SAMUEL RIO VARELA
INVASION 3 REYES,INVASION 3 REYES
INVASION 3 REYNAS III,INVASION 3 REYNAS III
INVASION ADOLFO DE LA HUERTA,INVASION ADOLFO DE LA HUERTA
INVASION ADOLFO LOPEZ MATEOS,INVASION ADOLFO LOPEZ MATEOS
INVASION ALCATRACES,INVASION ALCATRACES
INVASION ALTARES,INVASION ALTARES
INVASION ALTARES 3,INVASION ALTARES 3
INVASION COLOSIO,INVASION COLOSIO
INVASIÓN EL CHAPARRAL,INVASION EL CHAPARRAL
INVASIÓN EL MIRADOR,INVASION EL MIRADOR
INVASION EL RANCHITO,INVASION EL RANCHITO
INVASION GUAYACAN,INVASION GUAYACAN
INVASION LA ANTORCHA,INVASION LA ANTORCHA
INVASION LAS 3 REYNAS,INVASION LAS 3 REYNAS
INVASION LAS PEREDAS 2,INVASION LAS PEREDAS 2
INVASION LAS PEREDAS 3,INVASION LAS PEREDAS 3
INVASION MIGUEL VALENCIA,INVASION MIGUEL VALENCIA
INVASION NUEVO SONORA,INVASION NUEVO SONORA
INVASION NUVA ILUSION,INVASION NUVA ILUSION
INVASION PLUTARCO ELIAS CALLES,INVASION PLUTARCO ELIAS CALLES
INVASION REALENGO,INVASION REALENGO
INVASION SAN LUIS,INVASION SAN LUIS
INVASION VILLA BONITA,INVASION VILLA BONITA
ISSSTE,ISSSTE
ISSSTE FEDERAL,ISSSTE FEDERAL
ISSSTESON CENTENARIO,ISSSTESON CENTENARIO
ISSSTESON COLEGIO LUX,ISSSTESON COLEGIO LUX
ISSSTESON NORTE,ISSSTESON NORTE
JACINTO LOPEZ,JACINTO LOPEZ
JARDINES,JARDINES
JARDINES DE MONACO,JARDINES DE MONACO
JARDINES DE MÓNACO,JARDINES DE MONACO
JEREZ DEL VALLE,JEREZ DEL VALLE
VALLE DE JEREZ,JEREZ DEL VALLE
JESUS GARCIA,JESUS GARCIA
JESÚS GARCIA,JESUS GARCIA
JORGE VALDEZ JIULLERAT,JORGE VALDEZ JIULLERAT
JORGE VALDEZ MUÑOZ,JORGE VALDEZ MUNOZ
JOSE LOPEZ PORTILLO,JOSE LOPEZ PORTILLO
JOYAS DEL BACHOCO,JOYAS DEL BACHOCO
KINO,KINO
RESIDENCIAL KINO,KINO
KINO NUEVO,KINO NUEVO
KINO VIEJO,KINO VIEJO
L LA ANTORCHA,L LA ANTORCHA
LA ALAMEDA,LA ALAMEDA
LA ANTORCHA,LA ANTORCHA
LA HANTORCHA,LA ANTORCHA
LA ANTORCHA 2,LA ANTORCHA 2
LA ANTORCHA CAMPESINA,LA ANTORCHA CAMPESINA
LA CAMPANA,LA CAMPANA
LA CAMPINA,LA CAMPINA
LA CAMPIÑA,LA CAMPINA
LA CAMPINA SECC GIRASOLES,LA CAMPINA SECC GIRASOLES
LA CAMPINA SECCION GIRASOLES,LA CAMPINA SECCION GIRASOLES
LA CAÑADA,LA CANADA
RESIDENCIAL LA CAÑADA,LA CANADA
LA CARIDAD,LA CARIDAD
LA CHOLLA,LA CHOLLA
LA CIMA,LA CIMA
LA CIMA SECCION II,LA CIMA SECCION II
LA CIMA2,LA CIMA2
LA COLLA,LA COLLA
LA CORUÑA RESIDENCIAL,LA CORUNA RESIDENCIAL
LA COSECHA,LA COSECHA
LA CUATRO OLIVOS,LA CUATRO OLIVOS
LA ENCANTADA,LA ENCANTADA
RESIDENCIAL LA ENCANTADA,LA ENCANTADA
LA FLORESTA SECC CEIBA,LA FLORESTA SECC CEIBA
LA FLORESTA SECC VILLA FRESNOS,LA FLORESTA SECC VILLA FRESNOS
LA GRANJA LOPEZ,LA GRANJA LOPEZ
RESIDENCIAL LA HACIENDA,LA HACIENDA
LA HERRADURA,LA HERRADURA
LA HUERTA,LA HUERTA
LA INTERNACIONAL,LA INTERNACIONAL
LA JOYA,LA JOYA
LA JOYA I VILLAS DE LOS ZAFIROS,LA JOYA I VILLAS DE LOS ZAFIROS
LA JOYA VILLA DE LAS ESMERALDAS,LA JOYA VILLA DE LAS ESMERALDAS
LA JOYA VILLA DE LOS DIAMANTES,LA JOYA VILLA DE LOS DIAMANTES
LA LENGÜETA,LA LENGUETA
LA MANGA,LA MANGA
LA MARQUEZA,LA MARQUEZA
LA MATANZA,LA MATANZA
LA METALERA,LA METALERA
LA MINITAS,LA MINITAS
LA MOSCA,LA MOSCA
LA NUEVA VICTORIA,LA NUEVA VICTORIA
LA PALOMA RESIDENCIAL 4,LA PALOMA RESIDENCIAL 4
LA PALOMA RESIDENCIAL I,LA PALOMA RESIDENCIAL 4
LA PALOMA RESIDENCIAL II,LA PALOMA RESIDENCIAL II
LA PONDEROSA,LA PONDEROSA
LA RIOJA,LA RIOJA
LA RIOJA NORTE,LA RIOJA NORTE
LA VEBENA,LA VEBENA
LA VENTANA,LA VENTANA
LA VENTANA SECC. LA REJA,LA VENTANA SECC LA REJA
LA VERBENA,LA VERBENA
LA VERBENEA,LA VERBENEA
LA VICTORIA,LA VICTORIA
LA VICTORIA COLONIA PUNTA BELLA,LA VICTORIA COLONIA PUNTA BELLA
LA YESCA,LA YESCA
COL LADRILLERA,LADRILLERA
LADRILLERA,LADRILLERA
LAS AVES,LAS AVES
LAS CARRETAS,LAS CARRETAS
LAS COLINAS,LAS COLINAS
COLONIA LAS COSECHAS,LAS COSECHAS
LAS COSECHAS,LAS COSECHAS
LAS CUEVITAS,LAS CUEVITAS
LAS DILIGENCIAS,LAS DILIGENCIAS
LAS FLORES,LAS FLORES
LAS GLORIAS,LAS GLORIAS
LAS GRANJAS,LAS GRANJAS
LAS HACIENDAS,LAS HACIENDAS
LAS HACIENDAS RESIDENCIAL,LAS HACIENDAS RESIDENCIAL
LAS ISABELES,LAS ISABELES
LAS L OMAS,LAS L OMAS
LAS LADRILLERAS,LAS LADRILLERAS
LAS LOMAS,LAS LOMAS
LAS LOMAS DE CORTES,LAS LOMAS DE CORTES
LAS LOMAS DE PITIC,LAS LOMAS DE PITIC
LAS LOMAS DEL PITIC,LAS LOMAS DE PITIC
LAS LOMAS DEL MIRADOR,LAS LOMAS DEL MIRADOR
LAS LOMAS DEL SOL,LAS LOMAS DEL SOL
LAS LOMAS DEL SUR,LAS LOMAS DEL SUR
LAS LOMAS DUMAS,LAS LOMAS DUMAS
LAS LOMAS ETAPA 2,LAS LOMAS ETAPA 2
LAS LOMAS PRIVADA DEL BOSQUE,LAS LOMAS PRIVADA DEL BOSQUE
LAS LOMAS PRIVADA LAS LOMAS,LAS LOMAS PRIVADA LAS LOMAS
LAS LOMAS SECC BONITA,LAS LOMAS SECC BONITA
LAS LOMAS SECC BONITA 1,LAS LOMAS SECC BONITA 1
LAS LOMAS SECC CASTANOS,LAS LOMAS SECC CASTANOS
LAS LOMAS SECC CASTAÑOS,LAS LOMAS SECC CASTANOS
LAS LOMAS SECC. SEC,LAS LOMAS SECC SEC
LAS LOMAS SECCION BONITA 2,LAS LOMAS SECCION BONITA
LAS LOMAS SECCIÓN BONITA,LAS LOMAS SECCION BONITA
LAS LOMAS SECCIÓN EL PARAÍSO,LAS LOMAS SECCION EL PARAISO
LAS LOMAS SECCION LOS MANZANOS,LAS LOMAS SECCION LOS MANZANOS
LAS LOMAS SECCIÓN LOS MANZANOS,LAS LOMAS SECCION LOS MANZANOS
LAS LOMAS SECCIÓN SEC,LAS LOMAS SECCION SEC
LAS MINITAS,LAS MINITAS
LAS PALMAS,LAS PALMAS
LAS PEREDAS,LAS PEREDAS
LAS PÉREDAS,LAS PEREDAS
LAS PEREDAS 2,LAS PEREDAS 2
LAS PICHONERAS,LAS PICHONERAS
LAS PILAS,LAS PILAS
LAS PLACITAS,LAS PLACITAS
LAS PLACITAS SECC. II,LAS PLACITAS SECC II
LAS PLAZAS,LAS PLAZAS
LAS PRADERAS,LAS PRADERAS
LAS PRADERAS DEL VALLE,LAS PRADERAS DEL VALLE
LAS PRADERAS IV,LAS PRADERAS IV
LAS PRADERAS NORTE,LAS PRADERAS NORTE
LAS PRADERAS SUR,LAS PRADERAS SUR
LAS PROVINCIAS,LAS PROVINCIAS
LAS PROVINCIAS SECC. SALAMANCA,LAS PROVINCIAS SECC SALAMANCA
LAS QUINTAS,LAS QUINTAS
LAS TORRES,LAS TORRES
LAS TRES REYNAS,LAS TRES REYNAS
LAS VEREDAS,LAS VEREDAS
LAS VILLAS,LAS VILLAS
LAS VISTA,LAS VISTA
LAS VISTAS,LAS VISTAS
LASLOMAS,LASLOMAS
LAURA ALICIA FRIAS DE LOPEZ NOGALES,LAURA ALICIA FRIAS DE LOPEZ NOGALES
LAURA ALICIA FRÍAS DE LOPEZ NOGALES,LAURA ALICIA FRIAS DE LOPEZ NOGALES
LEY 57,LEY 57
LIBERTAD,LIBERTAD
LIBRAMIENTO,LIBRAMIENTO
LIRIOS,LIRIOS
LIRIOS II,LIRIOS II
LLANO,LLANO
LLANO VERDE,LLANO VERDE
LO OLIVOS,LO OLIVOS
LOMA BLANCA,LOMA BLANCA
LOMA LINDA,LOMA LINDA
LOMA LINDA \ KINO VIEJO,LOMA LINDA KINO VIEJO
LOMAS ALTAS,LOMAS ALTAS
LOMAS ALTAS PERIFERIA,LOMAS ALTAS PERIFERIA
LOMAS DE CORTEZ,LOMAS DE CORTEZ
LOMAS DE HERMOSILLO,LOMAS DE HERMOSILLO
LOMAS DE KINO,LOMAS DE KINO
LOMAS DE LINDAVISTA,LOMAS DE LINDAVISTA
LOMAS DE MADRID,LOMAS DE MADRID
LOMAS DE REFORMA,LOMAS DE REFORMA
LOMAS DE SAN GERMAN,LOMAS DE SAN GERMAN
LOMAS DEL NORTE Y PARAISO,LOMAS DEL NORTE Y PARAISO
LOMAS DEL PARQUE,LOMAS DEL PARQUE
LOMAS DEL PITIC,LOMAS DEL PITIC
LOMAS DEL RUR,LOMAS DEL RUR
LOMAS DEL SUR,LOMAS DEL SUR
LOPEZ PORTILLO,LOPEZ PORTILLO
LOPEZ PÓRTILLO,LOPEZ PORTILLO
LÓPEZ PORTILLO,LOPEZ PORTILLO
LOPEZS RIESGO,LOPEZS RIESGO
LORETO,LORETO
LORETO RESIDENCIAL,LORETO RESIDENCIAL
LOS ALAMOS,LOS ALAMOS
LOS ÁLAMOS,LOS ALAMOS
LOS ALTOS,LOS ALTOS
LOS ANGELES,LOS ANGELES
LOS ARCOS,LOS ARCOS
LOS ARROYOS,LOS ARROYOS
LOS ARROYOS II,LOS ARROYOS II
LOS ATARDECERES,LOS ATARDECERES
LOS CHOROS,LOS CHOROS
LOS CIRIOS,LOS CIRIOS
LOS ENCINOS,LOS ENCINOS
LOS ENCINOS I ETAPA III,LOS ENCINOS I ETAPA III
LOS ENCINOS RESIDENCIAL,LOS ENCINOS RESIDENCIAL
LOS FRESNOS,LOS FRESNOS
LOS IGUALADOS,LOS IGUALADOS
LOS JARDINES,LOS JARDINES
LOS LAGOS,LOS LAGOS
LOS LAGOS SECC. LAGO ESCONDIDO,LOS LAGOS SECC LAGO ESCONDIDO
LOS LIRIOS,LOS LIRIOS
LOS LIRIOS INV. TEPITO,LOS LIRIOS INV TEPITO
LOS LOMAS,LOS LOMAS
LOS MANANTIALES,LOS MANANTIALES
LOS MIRASOLES,LOS MIRASOLES
LOS MISIONEROS,LOS MISIONEROS
LOS NARANJOS,LOS NARANJOS
LOS OLIVOS,LOS OLIVOS
LOS PINOS CAMPESTRE,LOS PINOS CAMPESTRE
LOS PINOS RESIDENCIAL,LOS PINOS RESIDENCIAL
LOS POLVORINES,LOS POLVORINES
LOS PORTALES,LOS PORTALES
LOS ROSALES,LOS ROSALES
LOS SABINOS,LOS SABINOS
RESIDENCIAL LOS SANTOS,LOS SANTOS
LOS SAUCES,LOS SAUCES
LOS TULIPANES,LOS TULIPANES
LOS VINEDOS,LOS VINEDOS
LOS VIÑEDOS I,LOS VINEDOS I
LOSOLIVOS,LOSOLIVOS
LOTE BALDIO,LOTE BALDIO
LUIS DONALDO COLOSIO,LUIS DONALDO COLOSIO
LUIS ENCINAS,LUIS ENCINAS
LUZ VALENCIA,LUZ VALENCIA
MACHI LOPEZ,MACHI LOPEZ
MAGISTERIAL,MAGISTERIAL
MALECON,MALECON
MALLORCA RESIDENCIAL,MALLORCA RESIDENCIAL
MANUEL GOMEZ MORIN,MANUEL GOMEZ MORIN
MANUEL GÓMEZ MORIN,MANUEL GOMEZ MORIN
MARGARITAS OLIVOS,MARGARITAS OLIVOS
MARIN PARAISO,MARIN PARAISO
MARQUESA,MARQUESA
MARSELLA RESID.,MARSELLA RESID
MARTIRES DE CANANEA,MARTIRES DE CANANEA
MÁRTIRES DE CANANEA,MARTIRES DE CANANEA
MAYORCA,MAYORCA
MEDITERRANEO,MEDITERRANEO
MEDITERRÁNEO RESIDENCIAL,MEDITERRANEO RESIDENCIAL
MEGACENTRO,MEGACENTRO
MERLOT,MERLOT
MESA DEL SERI,MESA DEL SERI
MESA VERDE,MESA VERDE
RESIDENCIAL MESA VERDE,MESA VERDE
MESA VERDE RESIDENCIAL,MESA VERDE RESIDENCIAL
METALERA,METALERA
MEZQUITAL DEL ORO,MEZQUITAL DEL ORO
MICROPARQUE INDUSTRIAL,MICROPARQUE INDUSTRIAL
MICROPARQUE INDUSTRIAL NORTE,MICROPARQUE INDUSTRIAL NORTE
MIGUEL ALEMAN,MIGUEL ALEMAN
MIGUEL ALEMAN (LA DOCE),MIGUEL ALEMAN LA DOCE
MIGUEL ANGEL JIMENEZ,MIGUEL ANGEL JIMENEZ
MIGUEL HIDALGO,MIGUEL HIDALGO
MIGUEL VALDEZ,MIGUEL VALDEZ
MIGUEL VALENCIA,MIGUEL VALENCIA
MILAN,MILAN
MILÁN,MILAN
MILLAN RESIDENCIAL.,MILLAN RESIDENCIAL
MIRADOR,MIRADOR
MIRADOR DEL BACHOCO,MIRADOR DEL BACHOCO
FRACCIONAMIENTO MIRAMONTES,MIRAMONTES
MIRAMONTES,MIRAMONTES
MISION DE ANDALUCIA,MISION DE ANDALUCIA
MISION DE ANDALUCIA RES,MISION DE ANDALUCIA RES
MISIÓN DEL ARCO,MISION DEL ARCO
MISIÓN DEL REAL,MISION DEL REAL
MISION DEL SOL,MISION DEL SOL
MISIÓN DEL SOL,MISION DEL SOL
MISIÓN SAN IGNACIO,MISION SAN IGNACIO
MISIÓN SAN JERÓNIMO,MISION SAN JERONIMO
MISIONEROS,MISIONEROS
MISSION,MISSION
MIXCOAC,MIXCOAC
MODELO,MODELO
MODELO CENTRO,MODELO CENTRO
MODELO CENTRO (GUAYMAS J. SIERRA),MODELO CENTRO GUAYMAS J SIERRA
MODELO NORTE,MODELO NORTE
MODELO RETORNOS,MODELO RETORNOS
MODELO SUR RETORNOS,MODELO SUR RETORNOS
MOLINO DE CAMOU,MOLINO DE CAMOU
MÓNACO PRIVADA RESIDENCIAL,MONACO PRIVADA RESIDENCIAL
MONACO PRIVADAS,MONACO PRIVADAS
MONACO PRIVADAS RESIDENCIALES,MONACO PRIVADAS RESIDENCIALES
MONTALBAN O CANTERAS,MONTALBAN O CANTERAS
MONTALBAN RESIDENCIAL,MONTALBAN RESIDENCIAL
MONTEALBAN RESIDENCIAL,MONTALBAN RESIDENCIAL
MONTE ALBAN SECC. 2,MONTE ALBAN SECC 2
MONTE BELLO RESIDENCIAL,MONTE BELLO RESIDENCIAL
MONTE CARLO,MONTE CARLO
MONTE ELENA,MONTE ELENA
MONTE REAL,MONTE REAL
MONTE SERENO,MONTE SERENO
MONTEBELLO RESIDENCIAL,MONTEBELLO RESIDENCIAL
MONTECARLO,MONTECARLO
MONTECARLOS,MONTECARLOS
MONTEROSA,MONTEROSA
MORELOS,MORELOS
MURAN,MURAN
MURANO,MURANO
MURANO RESIDENCIAL,MURANO RESIDENCIAL
NACAMERI,NACAMERI
NAPOLES,NAPOLES
NATURA,NATURA
NAVARRETE,NAVARRETE
RESIDENCIAL NAVARRETE,NAVARRETE
NAZAREO RESIDENCIAL,NAZAREO RESIDENCIAL
NORBERTO ORTEGA,NORBERTO ORTEGA
NUEVA CASTILLA,NUEVA CASTILLA
NUEVA ESPAÑA,NUEVA ESPANA
NUEVA ESPERANZA,NUEVA ESPERANZA
NUUEVA ESPERANZA.,NUEVA ESPERANZA
NUEVA GALICIA,NUEVA GALICIA
NUEVA ILUSION,NUEVA ILUSION
NUEVA PALMIRA,NUEVA PALMIRA
NUEVA PROVINCIA,NUEVA PROVINCIA
NUEVA VICTORIA,NUEVA VICTORIA
NUEVA VILLA SUREÑA,NUEVA VILLA SURENA
NUEVO AMANECER,NUEVO AMANECER
NUEVO DESIERTO,NUEVO DESIERTO
NUEVO HERMAOSILLO,NUEVO HERMAOSILLO
NUEVO HERMOSILLO,NUEVO HERMAOSILLO
NUEVO HORIZONTE,NUEVO HORIZONTE
NUEVO MEXICO,NUEVO MEXICO
NUEVO POROGRESO,NUEVO POROGRESO
NUEVO PROGRESO,NUEVO POROGRESO
NUEVO SAHUARO,NUEVO SAHUARO
NUEVO SONORA\MIGUEL ALEMAN (LA DOCE),NUEVO SONORAMIGUEL ALEMAN LA DOCE
OASIS,OASIS
OASIS DEL PINACATE,OASIS DEL PINACATE
OASIS DEL SOL,OASIS DEL SOL
OASIS LANTANA,OASIS LANTANA
OASIS MESA VERDE,OASIS MESA VERDE
OASIS MIRAMONTES,OASIS MIRAMONTES
OASIS  MONTE REAL,OASIS MONTE REAL
OASIS MONTE REAL,OASIS MONTE REAL
OASIS MONTEREAL,OASIS MONTEREAL
OASIS MONTERREAL,OASIS MONTEREAL
OASIS PALMEIRA,OASIS PALMEIRA
OASIS PINACATE,OASIS PINACATE
OASIS SANTA FE,OASIS SANTA FE
OASIS SECC PINACATE,OASIS SECC PINACATE
OASIS SOLANA,OASIS SOLANA
OASIS SOLERA,OASIS SOLERA
OBISPOS RESIDENCIAL,OBISPOS RESIDENCIAL
OFICINAS FEDERALES,OFICINAS FEDERALES
OLIVARES,OLIVARES
OLOS OLIVOS,OLOS OLIVOS
OPATAS,OPATAS
P. INDUSTRIAL,P INDUSTRIAL
P. INDUSTRIAL DYNATECH,P INDUSTRIAL DYNATECH
P. INDUSTRIAL LA LABOR,P INDUSTRIAL LA LABOR
PALERMO,PALERMO
PALERMO RESIDENCIAL,PALERMO RESIDENCIAL
PALERMO SECCION FERRARA,PALERMO SECCION FERRARA
PALMA DORADA,PALMA DORADA
PALMAR DEL SOL,PALMAR DEL SOL
FRACCIONAMIENTO PALMEIRA,PALMEIRA
PALO FIERRO,PALO FIERRO
PALO VERDE,PALO VERDE
PRIVADA PALO VERDE,PALO VERDE
PALO VERDE FINAL,PALO VERDE FINAL
PALO VERDE INDEUR LOS OLIVOS,PALO VERDE INDEUR LOS OLIVOS
PALOVERDE INDEUR LOS OLIVOS,PALO VERDE INDEUR LOS OLIVOS
PALO VERDE LOS OLIVOS,PALO VERDE LOS OLIVOS
PALO VERDE NORTE,PALO VERDE NORTE
PALO VERDE SUR,PALO VERDE SUR
PALOMA RESIDENCIAL,PALOMA RESIDENCIAL
PAQUE CENTRAL,PAQUE CENTRAL
PARQUE CENTRAL,PAQUE CENTRAL
PARQUE INDUSTRIAL,PARQUE INDUSTRIAL
PARQUE INDUSTRIAL DAMOSA,PARQUE INDUSTRIAL DAMOSA
PARQUE INDUSTRIAL HERMOSILLO,PARQUE INDUSTRIAL HERMOSILLO
PARQUE INDUSTRIAL LATITUDE,PARQUE INDUSTRIAL LATITUDE
PARQUE INDUSTRIAL MONTE ALBAN,PARQUE INDUSTRIAL MONTE ALBAN
PARQUE INDUSTRIAL NORTE,PARQUE INDUSTRIAL NORTE
PARQUE INDUSTRIAL PIMEX,PARQUE INDUSTRIAL PIMEX
PARQUE INDUSTRIAL SONORA,PARQUE INDUSTRIAL SONORA
PARQUE MADERO,PARQUE MADERO
PARQUE MADERO NORTE,PARQUE MADERO NORTE
PARQUE VERSALLES RESID.,PARQUE VERSALLES RESID
PASEO CASA BLANCA,PASEO CASA BLANCA
PASEO DE LA COLINA I,PASEO DE LA COLINA I
PASEO DE LAS MARGARITAS,PASEO DE LAS MARGARITAS
PASEO DE LAS MISIONES,PASEO DE LAS MISIONES
PASEO DE LAS RIVIERAS,PASEO DE LAS RIVIERAS
PASEO DE PALMAS,PASEO DE PALMAS
PASEO DEL CID,PASEO DEL CID
PASEO DEL CID RESIDENCIAL,PASEO DEL CID RESIDENCIAL
PASEO DEL PALMAR,PASEO DEL PALMAR
PASEO DEL PEDREGAL,PASEO DEL PEDREGAL
PASEO DEL SOL,PASEO DEL SOL
PASEO LAS LOMAS,PASEO LAS LOMAS
PASEO REAL,PASEO REAL
PASEO REAL RESIDENCIAL,PASEO REAL RESIDENCIAL
PASEO SAN ANGEL,PASEO SAN ANGEL
PASEO SAN ANGEL II SECC. CERRADA LAS PLACITAS,PASEO SAN ANGEL II SECC CERRADA LAS PLACITAS
PASEO SAN ANGEL II SECC. LOS ALAMOS,PASEO SAN ANGEL II SECC LOS ALAMOS
"PASEO SAN ÁNGEL SECCIÓN LAS PLACITAS II,III, IV, V",PASEO SAN ANGEL SECCION LAS PLACITAS IIIII IV V
PASEODEL PEDREGAL,PASEODEL PEDREGAL
PASEOS DE ROMANZA,PASEOS DE ROMANZA
PASEOS DEL PEDREGAL SECC. DIAMANTE,PASEOS DEL PEDREGAL SECC DIAMANTE
PEDREGAL DE LA VILLA,PEDREGAL DE LA VILLA
PEMEX,PEMEX
RESIDENCIAL PEÑASCO,PENASCO
PERIFERICO SUR,PERIFERICO SUR
PERIODISTA,PERIODISTA
PERISUR,PERISUR
PESQUEIRA,PESQUEIRA
PIE DE CASAS LAS MINITAS,PIE DE CASAS LAS MINITAS
PILARES,PILARES
RESIDENCIAL PIMA,PIMA
PIMENTEL,PIMENTEL
PITIC,PITIC
"PLACITAS , EN EL EJIDO LAS PLACITAS",PLACITAS EN EL EJIDO LAS PLACITAS
PLATINO,PLATINO
PLAZA DE LAS FRANQUICIAS,PLAZA DE LAS FRANQUICIAS
PLAZA GRANDE,PLAZA GRANDE
PLAZA REAL,PLAZA REAL
PLAZA SENDERO,PLAZA SENDERO
PLUTARCO ELIAS,PLUTARCO ELIAS
PLUTARCO ELIAS CALLES,PLUTARCO ELIAS CALLES
POPULAR,POPULAR
PORTAL DE ROMANZA,PORTAL DE ROMANZA
PORTAL DEL LAGO,PORTAL DEL LAGO
PORTAL DEL PITIC,PORTAL DEL PITIC
PORTON DEL ARCO,PORTON DEL ARCO
POTRERO DE BUSHARD,POTRERO DE BUSHARD
PRADERAS,PRADERAS
PRADERAS DEL REAL,PRADERAS DEL REAL
PRADERAS DEL SOL,PRADERAS DEL SOL
PRADERAS DEL VALLE,PRADERAS DEL VALLE
PRADOS DE BUGAMBILIAS,PRADOS DE BUGAMBILIAS
PRADOS DEL CENTENARIO,PRADOS DEL CENTENARIO
PRADOS DEL SOL,PRADOS DEL SOL
PREDIO GUADALUPE,PREDIO GUADALUPE
PRESIDENCIAL PENASCO,PRESIDENCIAL PENASCO
PRIMAVERA,PRIMAVERA
PRIMAVERA\KINO VIEJO,PRIMAVERAKINO VIEJO
PRIMERO HERMOSILLO,PRIMERO HERMOSILLO
PRIV. CASA BLANCA,PRIV CASA BLANCA
PRIV. SAN GERMAN,PRIV SAN GERMAN
PRIVADAS DE REY,PRIVADAS DE REY
PRIVADAS DEL REY,PRIVADAS DE REY
PRIVADAS DE SAN LORENZO,PRIVADAS DE SAN LORENZO
PRIVADAS DEL BOSQUE,PRIVADAS DEL BOSQUE
PRIVADAS DEL MIRADOR,PRIVADAS DEL MIRADOR
PRIVADAS DEL MIRADOR 2,PRIVADAS DEL MIRADOR 2
PRIVADAS DEL REAL,PRIVADAS DEL REAL
